comparison_id,pair_id,stage,context,repertoire_a_id,repertoire_b_id,individual_a,individual_b,receiver_a,receiver_b,session_a,session_b
comparison=ba94cf36154e64af17f8de78,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=6,focal=Lola|conspecific=Wuschel|stage=after|session=5,Tabor,Lola,Olympia,Wuschel,6,5
comparison=f31a9bd9bbf17bf5cc3c897c,A,after,non-partner,focal=Tabor|conspecific=Olympia|stage=after|session=6,focal=Lola|conspecific=Wuschel|stage=after|session=6,Tabor,Lola,Olympia,Wuschel,6,6
comparison=90117844ce627856029fcdd2,A,after,partner,focal=Tabor|conspecific=Lola|stage=after|session=3,focal=Lola|conspecific=Tabor|stage=after|session=3,Tabor,Lola,Lola,Tabor,3,3
comparison=7ee47f7a688067c771f5e320,A,after,partner,focal=Tabor|conspecific=Lola|stage=after|session=3,focal=Lola|conspecific=Tabor|stage=after|session=5,Tabor,Lola,Lola,Tabor,3,5
comparison=2eb19751a25041794e5110c7,A,after,partner,focal=Tabor|conspecific=Lola|stage=after|session=5,focal=Lola|conspecific=Tabor|stage=after|session=3,Tabor,Lola,Lola,Tabor,5,3
comparison=fba4d88e2716f0fd37170d66,A,after,partner,focal=Tabor|conspecific=Lola|stage=after|session=5,focal=Lola|conspecific=Tabor|stage=after|session=5,Tabor,Lola,Lola,Tabor,5,5
comparison=f4c77d6eba19400b7a7a9f96,A,after,partner,focal=Tabor|conspecific=Lola|stage=after|session=6,focal=Lola|conspecific=Tabor|stage=after|session=3,Tabor,Lola,Lola,Tabor,6,3
comparison=9ed166e4c88d2819ebdf48b1,A,after,partner,focal=Tabor|conspecific=Lola|stage=after|session=6,focal=Lola|conspecific=Tabor|stage=after|session=5,Tabor,Lola,Lola,Tabor,6,5
comparison=c44bb8a0a2a87b1eea53c3d2,A,before,non-partner,focal=Tabor|conspecific=Nougatti|stage=before|session=2,focal=Lola|conspecific=Odin|stage=before|session=1,Tabor,Lola,Nougatti,Odin,2,1
comparison=dd1e718438110d1778edd88e,A,before,non-partner,focal=Tabor|conspecific=Nougatti|stage=before|session=2,focal=Lola|conspecific=Odin|stage=before|session=5,Tabor,Lola,Nougatti,Odin,2,5
comparison=23bc5b6c3899bb396da6cc28,A,before,non-partner,focal=Tabor|conspecific=Nougatti|stage=before|session=2,focal=Lola|conspecific=Wuschel|stage=before|session=4,Tabor,Lola,Nougatti,Wuschel,2,4
comparison=77c08c5f90146ba6c5033cfd,A,before,non-partner,focal=Tabor|conspecific=Nougatti|stage=before|session=3,focal=Lola|conspecific=Odin|stage=before|session=1,Tabor,Lola,Nougatti,Odin,3,1
comparison=cc23d65faa083b97cb8d4fd1,A,before,non-partner,focal=Tabor|conspecific=Nougatti|stage=before|session=3,focal=Lola|conspecific=Odin|stage=before|session=5,Tabor,Lola,Nougatti,Odin,3,5
comparison=b2a9b2246563a0cf405b87bb,A,before,non-partner,focal=Tabor|conspecific=Nougatti|stage=before|session=3,focal=Lola|conspecific=Wuschel|stage=before|session=4,Tabor,Lola,Nougatti,Wuschel,3,4
comparison=7879d6fe33ac4f9bb0f21ab0,A,before,non-partner,focal=Tabor|conspecific=Nougatti|stage=before|session=4,focal=Lola|conspecific=Odin|stage=before|session=1,Tabor,Lola,Nougatti,Odin,4,1
comparison=c4d13cdaff8f00bfd3c11273,A,before,non-partner,focal=Tabor|conspecific=Nougatti|stage=before|session=4,focal=Lola|conspecific=Odin|stage=before|session=5,Tabor,Lola,Nougatti,Odin,4,5
comparison=047a4ea1a3e7f9c0d51492ea,A,before,non-partner,focal=Tabor|conspecific=Nougatti|stage=before|session=4,focal=Lola|conspecific=Wuschel|stage=before|session=4,Tabor,Lola,Nougatti,Wuschel,4,4
comparison=bc77f0c52e56ca12ca79a752,A,before,non-partner,focal=Tabor|conspecific=Nougatti|stage=before|session=6,focal=Lola|conspecific=Odin|stage=before|session=1,Tabor,Lola,Nougatti,Odin,6,1
comparison=1c310b6fab57d3a75d92cad3,A,before,non-partner,focal=Tabor|conspecific=Nougatti|stage=before|session=6,focal=Lola|conspecific=Odin|stage=before|session=5,Tabor,Lola,Nougatti,Odin,6,5
comparison=44d80449261229f0f5610aa6,A,before,non-partner,focal=Tabor|conspecific=Nougatti|stage=before|session=6,focal=Lola|conspecific=Wuschel|stage=before|session=4,Tabor,Lola,Nougatti,Wuschel,6,4
comparison=345ca898729088662585121d,A,before,non-partner,focal=Tabor|conspecific=Olympia|stage=before|session=1,focal=Lola|conspecific=Odin|stage=before|session=1,Tabor,Lola,Olympia,Odin,1,1
comparison=09ba882a7c509b88217c0ca9,A,before,non-partner,focal=Tabor|conspecific=Olympia|stage=before|session=1,focal=Lola|conspecific=Odin|stage=before|session=5,Tabor,Lola,Olympia,Odin,1,5
comparison=e9274f467db764d723b0c205,A,before,non-partner,focal=Tabor|conspecific=Olympia|stage=before|session=1,focal=Lola|conspecific=Wuschel|stage=before|session=4,Tabor,Lola,Olympia,Wuschel,1,4
comparison=4ae3dda58e60720d3e134349,A,before,non-partner,focal=Tabor|conspecific=Olympia|stage=before|session=2,focal=Lola|conspecific=Odin|stage=before|session=1,Tabor,Lola,Olympia,Odin,2,1
comparison=ad6f6b814cf22050a33de045,A,before,non-partner,focal=Tabor|conspecific=Olympia|stage=before|session=2,focal=Lola|conspecific=Odin|stage=before|session=5,Tabor,Lola,Olympia,Odin,2,5
comparison=b54e9f38117faec10eba0394,A,before,non-partner,focal=Tabor|conspecific=Olympia|stage=before|session=2,focal=Lola|conspecific=Wuschel|stage=before|session=4,Tabor,Lola,Olympia,Wuschel,2,4
comparison=1700f6eabe063e37c97fb75b,A,before,non-partner,focal=Tabor|conspecific=Olympia|stage=before|session=3,focal=Lola|conspecific=Odin|stage=before|session=1,Tabor,Lola,Olympia,Odin,3,1
comparison=b308797df673bf8c98c67370,A,before,non-partner,focal=Tabor|conspecific=Olympia|stage=before|session=3,focal=Lola|conspecific=Odin|stage=before|session=5,Tabor,Lola,Olympia,Odin,3,5
comparison=d36a5869f008968c20e7f9c2,A,before,non-partner,focal=Tabor|conspecific=Olympia|stage=before|session=3,focal=Lola|conspecific=Wuschel|stage=before|session=4,Tabor,Lola,Olympia,Wuschel,3,4
comparison=4a251c70a0c560dfdb97d0c4,A,before,non-partner,focal=Tabor|conspecific=Olympia|stage=before|session=4,focal=Lola|conspecific=Odin|stage=before|session=1,Tabor,Lola,Olympia,Odin,4,1
