file name,file type,equipment,hab_acc,period,ID_left,ID_right,day,month,year,experimenter,comments,
trills_2022-07-25_14-28-48_0000039.wav,acoustic ,USGH2,acc,after,Tabor,Nougatti,25,7,2022,14:30,KW/KM,
trills_2022-07-25_14-43-08_0000041.wav,acoustic ,USGH2,acc,after,Tabor,Nougatti,25,7,2022,14:30,KW/KM,
phees_2022-07-25_14-55-51_0000042.wav,acoustic ,USGH1,acc,after,Tabor,Olympia ,25,7,2022,14:55,KW/KM,
phees_2022-07-25_15-07-25_0000044.wav,acoustic ,USGH1,acc,after,Tabor,Olympia ,25,7,2022,14:55,KW/KM,
trills_2022-07-25_14-55-52_0000042.wav,acoustic ,USGH2,acc,after,Tabor,Olympia ,25,7,2022,14:55,KW/KM,
trills_2022-07-25_15-07-21_0000044.wav,acoustic ,USGH2,acc,after,Tabor,Olympia ,25,7,2022,14:55,KW/KM,
phees_2022-07-25_15-26-45_0000046.wav,acoustic ,USGH1,acc,after,Wuschel,Nougatti,25,7,2022,15:25,KW/KM,
trills_2022-07-25_15-26-47_0000046.wav,acoustic ,USGH2,acc,after,Wuschel,Nougatti,25,7,2022,15:25,KW/KM,
phees_2022-07-26_13-19-22_0000049.wav,acoustic ,USGH1,acc,after,Odin,Lola,26,7,2022,13:20,KW/KM,
trills_2022-07-26_13-19-23_0000049.wav,acoustic ,USGH2,acc,after,Odin,Lola,26,7,2022,13:20,KW/KM,
phees_2022-07-26_13-45-12_0000050.wav,acoustic ,USGH1,acc,after,Tabor,Lola,26,7,2022,13:45,KW/KM,
trills_2022-07-26_13-45-13_0000050.wav,acoustic ,USGH2,acc,after,Tabor,Lola,26,7,2022,13:45,KW/KM,
phees_2022-07-26_14-33-05_0000052.wav,acoustic ,USGH1,acc,after,Wuschel,Olympia ,26,7,2022,14:30,KW/KM,
trills_2022-07-26_14-33-06_0000052.wav,acoustic ,USGH2,acc,after,Wuschel,Olympia ,26,7,2022,14:30,KW/KM,
phees_2022-07-26_15-00-38_0000053.wav,acoustic ,USGH1,acc,after,Wuschel,Nougatti,26,7,2022,15:00,KW/KM,
trills_2022-07-26_15-00-39_0000053.wav,acoustic ,USGH2,acc,after,Wuschel,Nougatti,26,7,2022,15:00,KW/KM,
phees_2022-07-26_15-22-33_0000054.wav,acoustic ,USGH1,acc,after,Odin,Nougatti,26,7,2022,15:20,KW/KM,
trills_2022-07-26_15-22-35_0000054.wav,acoustic ,USGH2,acc,after,Odin,Nougatti,26,7,2022,15:20,KW/KM,
phees_2022-07-27_10-24-06_0000055.wav,acoustic ,USGH1,acc,after,Tabor,Nougatti,27,7,2022,10:25,KW/KM,
trills_2022-07-27_10-24-07_0000055.wav,acoustic ,USGH2,acc,after,Tabor,Nougatti,27,7,2022,10:25,KW/KM,
phees_2022-07-27_10-54-21_0000056.wav,acoustic ,USGH1,acc,after,Odin,Nougatti,27,7,2022,10:55,KW/KM,
trills_2022-07-27_10-54-22_0000056.wav,acoustic ,USGH2,acc,after,Odin,Nougatti,27,7,2022,10:55,KW/KM,
phees_2022-07-27_11-30-41_0000057.wav,acoustic ,USGH1,acc,after,Wuschel,Lola,27,7,2022,11:30,KW/KM,
trills_2022-07-27_11-30-42_0000057.wav,acoustic ,USGH2,acc,after,Wuschel,Lola,27,7,2022,11:30,KW/KM,
phees_2022-07-28_09-36-49_0000058.wav,acoustic ,USGH1,acc,after,Tabor,Olympia ,28,7,2022,09:35,KW/KM,
trills_2022-07-28_09-36-50_0000058.wav,acoustic ,USGH2,acc,after,Tabor,Olympia ,28,7,2022,09:35,KW/KM,
phees_2022-07-28_10-12-30_0000059.wav,acoustic ,USGH1,acc,after,Wuschel,Olympia ,28,7,2022,10:10,KW/KM,
trills_2022-07-28_10-12-31_0000059.wav,acoustic ,USGH2,acc,after,Wuschel,Olympia ,28,7,2022,10:10,KW/KM,
phees_2022-07-28_10-46-38_0000060.wav,acoustic ,USGH1,acc,after,Odin,Lola,28,7,2022,10:45,KW/KM,
trills_2022-07-28_10-46-40_0000060.wav,acoustic ,USGH2,acc,after,Odin,Lola,28,7,2022,10:45,KW/KM,
phees_2022-07-28_11-14-07_0000061.wav,acoustic ,USGH1,acc,after,Tabor,Lola,28,7,2022,11:15,KW/KM,
trills_2022-07-28_11-14-09_0000061.wav,acoustic ,USGH2,acc,after,Tabor,Lola,28,7,2022,11:15,KW/KM,
phees_2022-08-02_13-43-08_0000064.wav,acoustic ,USGH1,acc,after,Odin,Olympia ,2,8,2022,13:45,KW/KM,
trills_2022-08-02_13-43-10_0000064.wav,acoustic ,USGH2,acc,after,Odin,Olympia ,2,8,2022,13:45,KW/KM,
phees_2022-08-02_14-11-30_0000065.wav,acoustic ,USGH1,acc,after,Wuschel,Olympia ,2,8,2022,14:10,KW/KM,
trills_2022-08-02_14-11-31_0000065.wav,acoustic ,USGH2,acc,after,Wuschel,Olympia ,2,8,2022,14:10,KW/KM,
phees_2022-08-02_14-36-43_0000066.wav,acoustic ,USGH1,acc,after,Wuschel,Lola,2,8,2022,14:35,KW/KM,
trills_2022-08-02_14-36-44_0000066.wav,acoustic ,USGH2,acc,after,Wuschel,Lola,2,8,2022,14:35,KW/KM,
phees_2022-08-02_15-01-37_0000067.wav,acoustic ,USGH1,acc,after,Tabor,Lola,2,8,2022,15:00,KW/KM,
trills_2022-08-02_15-01-39_0000067.wav,acoustic ,USGH2,acc,after,Tabor,Lola,2,8,2022,15:00,KW/KM,
