file name,file type,equipment,hab_acc,period,ID_left,ID_right,day,month,year,experimenter,comments,Unnamed: 12,file_prefix,date,time,ID,Date_Time,session_number
phees_2022-07-07_13-29-35_0000007.wav,acoustic,USGH1,acc,after,Tabor,Lola,7,7,2022,13:30,KW/KM,"Avisoft crashed a few seconds in, experiment restarted (audio file ok, but video has the beginning in it). Lots of food calls, from both individuals (mostly Tabor). Sometimes at the same time - then not labelled - too hard to tell. ",phees,2022-07-07,13-29-35,0000007.wav,2022-07-07 13:29:35,1
trills_2022-07-07_13-29-36_0000007.wav,acoustic,USGH2,acc,after,Tabor,Lola,7,7,2022,13:30,KW/KM,,trills,2022-07-07,13-29-36,0000007.wav,2022-07-07 13:29:36,1
phees_2022-07-07_13-58-35_0000008.wav,acoustic,USGH1,acc,after,Wuschel,Olympia,7,7,2022,14:00,KW/KM,"the recording is a bit longer than the experiment - animals trilling (+ antiphonal), so we continuted recording ",phees,2022-07-07,13-58-35,0000008.wav,2022-07-07 13:58:35,1
trills_2022-07-07_13-58-36_0000008.wav,acoustic,USGH2,acc,after,Wuschel,Olympia,7,7,2022,14:00,KW/KM,,trills,2022-07-07,13-58-36,0000008.wav,2022-07-07 13:58:36,1
phees_2022-07-07_14-46-49_0000009.wav,acoustic,USGH1,acc,after,Odin,Lola,7,7,2022,14:30,KW/KM,,phees,2022-07-07,14-46-49,0000009.wav,2022-07-07 14:46:49,1
trills_2022-07-07_14-46-50_0000009.wav,acoustic,USGH2,acc,after,Odin,Lola,7,7,2022,14:30,KW/KM,,trills,2022-07-07,14-46-50,0000009.wav,2022-07-07 14:46:50,1
phees_2022-07-08_09-47-41_0000012.wav,acoustic,USGH1,acc,after,Odin,Nougatti,8,7,2022,09:45,KW/KM,,phees,2022-07-08,09-47-41,0000012.wav,2022-07-08 09:47:41,1
trills_2022-07-08_09-47-42_0000012.wav,acoustic,USGH2,acc,after,Odin,Nougatti,8,7,2022,09:45,KW/KM,,trills,2022-07-08,09-47-42,0000012.wav,2022-07-08 09:47:42,1
phees_2022-07-08_10-17-53_0000013.wav,acoustic,USGH1,acc,after,Wuschel,Lola,8,7,2022,10:20,KW/KM,,phees,2022-07-08,10-17-53,0000013.wav,2022-07-08 10:17:53,1
trills_2022-07-08_10-17-54_0000013.wav,acoustic,USGH2,acc,after,Wuschel,Lola,8,7,2022,10:20,KW/KM,,trills,2022-07-08,10-17-54,0000013.wav,2022-07-08 10:17:54,1
phees_2022-07-08_10-51-41_0000014.wav,acoustic,USGH1,acc,after,Tabor,Olympia ,8,7,2022,11:00,KW/KM,,phees,2022-07-08,10-51-41,0000014.wav,2022-07-08 10:51:41,1
trills_2022-07-08_10-51-44_0000014.wav,acoustic,USGH2,acc,after,Tabor,Olympia ,8,7,2022,11:00,KW/KM,,trills,2022-07-08,10-51-44,0000014.wav,2022-07-08 10:51:44,1
phees_2022-07-18_11-15-13_0000019.wav,acoustic ,USGH1,acc,after,Tabor,Lola,18,7,2022,11:20,KW/KM,,phees,2022-07-18,11-15-13,0000019.wav,2022-07-18 11:15:13,2
trills_2022-07-18_11-15-14_0000019.wav,acoustic ,USGH2,acc,after,Tabor,Lola,18,7,2022,11:20,KW/KM,,trills,2022-07-18,11-15-14,0000019.wav,2022-07-18 11:15:14,2
phees_2022-07-19_11-17-29_0000018.wav,acoustic ,USGH1,acc,after,Odin,Olympia ,19,7,2022,11:15,KW/KM,Odin a bit stressed; phee and trill 18 (KM),phees,2022-07-19,11-17-29,0000018.wav,2022-07-19 11:17:29,1
trills_2022-07-19_11-17-30_0000018.wav,acoustic ,USGH2,acc,after,Odin,Olympia ,19,7,2022,11:15,KW/KM,,trills,2022-07-19,11-17-30,0000018.wav,2022-07-19 11:17:30,1
phees_2022-07-19_14-36-48_0000021.wav,acoustic ,USGH1,acc,after,Wuschel,Lola,19,7,2022,14:30,KW/KM,,phees,2022-07-19,14-36-48,0000021.wav,2022-07-19 14:36:48,2
