call_id,filename,focal ID,conspecific_ID,stage,paired_status,pair_id,embedding_1,embedding_2,embedding_method
1982,after_trills_2022-07-26_13-45-13_0000050_labelled_Tabor_pheeseq_0000015_labelled_mD2.wav,Tabor,Lola,after,partner,Tabor-Lola,10.871085,-6.41584,PaCMAP
1983,after_trills_2022-07-26_13-45-13_0000050_labelled_Tabor_pheeseq_0000015_labelled_mD3.wav,Tabor,Lola,after,partner,Tabor-Lola,-4.422998,-2.4306252,PaCMAP
1984,after_trills_2022-07-26_13-45-13_0000050_labelled_Tabor_pheeseq_0000015_labelled_mD4.wav,Tabor,Lola,after,partner,Tabor-Lola,-9.198593,0.35331327,PaCMAP
1985,after_trills_2022-07-26_15-00-39_0000053_labelled_Nougatti_pheeseq_0000009_labelled_mC2.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,9.96238,-8.805144,PaCMAP
1986,after_trills_2022-07-26_15-00-39_0000053_labelled_Nougatti_pheeseq_0000009_labelled_mC3.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-9.375575,-0.19683746,PaCMAP
1987,after_trills_2022-07-26_15-00-39_0000053_labelled_Nougatti_pheeseq_0000019_labelled_mB1.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,1.6598201,-0.6915283,PaCMAP
1988,after_trills_2022-07-26_15-00-39_0000053_labelled_Nougatti_pheeseq_0000019_labelled_mB2.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-5.0970483,-1.0362664,PaCMAP
1989,after_trills_2022-07-26_15-00-39_0000053_labelled_Nougatti_pheeseq_0000021_labelled_mD2.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,8.247328,-5.372045,PaCMAP
1990,after_trills_2022-07-26_15-00-39_0000053_labelled_Nougatti_pheeseq_0000021_labelled_mD3.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-6.267166,-1.7271675,PaCMAP
1991,after_trills_2022-07-26_15-00-39_0000053_labelled_Nougatti_pheeseq_0000021_labelled_mD4.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,-10.356999,1.3312896,PaCMAP
1992,after_trills_2022-07-27_10-24-07_0000055_labelled_Tabor_pheeseq_0000002_labelled_mC1.wav,Tabor,Nougatti,after,non-partner,Tabor-Lola,10.059957,-8.035288,PaCMAP
1993,after_trills_2022-07-27_10-24-07_0000055_labelled_Tabor_pheeseq_0000002_labelled_mC2.wav,Tabor,Nougatti,after,non-partner,Tabor-Lola,-3.4198592,-2.5272102,PaCMAP
1994,after_trills_2022-07-27_10-24-07_0000055_labelled_Tabor_pheeseq_0000002_labelled_mC3.wav,Tabor,Nougatti,after,non-partner,Tabor-Lola,-3.8462915,-2.4137862,PaCMAP
1995,after_trills_2022-07-27_10-54-22_0000056_labelled_Odin_pheeseq_0000006_labelled_mB2.wav,Odin,Nougatti,after,partner,Odin-Nougatti,-4.917553,-0.6027034,PaCMAP
1996,after_trills_2022-07-27_11-30-42_0000057_labelled_Lola_pheeseq_0000004_labelled_mB1.wav,Lola,Wuschel,after,non-partner,Tabor-Lola,4.517314,-0.49477476,PaCMAP
1997,after_trills_2022-07-27_11-30-42_0000057_labelled_Lola_pheeseq_0000004_labelled_mB2.wav,Lola,Wuschel,after,non-partner,Tabor-Lola,8.394699,-2.4287271,PaCMAP
1998,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000006_labelled_mD1.wav,Tabor,Lola,after,partner,Tabor-Lola,-6.990278,5.2732434,PaCMAP
1999,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000006_labelled_mD2.wav,Tabor,Lola,after,partner,Tabor-Lola,11.409164,-6.354637,PaCMAP
2000,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000006_labelled_mD3.wav,Tabor,Lola,after,partner,Tabor-Lola,11.487447,-8.046556,PaCMAP
2001,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000006_labelled_mD4.wav,Tabor,Lola,after,partner,Tabor-Lola,-9.009247,-0.3015506,PaCMAP
2002,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000025_labelled_mB1.wav,Tabor,Lola,after,partner,Tabor-Lola,11.419904,-6.5192585,PaCMAP
2003,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000025_labelled_mB2.wav,Tabor,Lola,after,partner,Tabor-Lola,11.958478,-6.932895,PaCMAP
2004,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000027_labelled_mD1.wav,Tabor,Lola,after,partner,Tabor-Lola,9.76731,-7.146409,PaCMAP
2005,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000027_labelled_mD2.wav,Tabor,Lola,after,partner,Tabor-Lola,9.8466425,-6.542297,PaCMAP
2006,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000027_labelled_mD3.wav,Tabor,Lola,after,partner,Tabor-Lola,11.262454,-6.3843427,PaCMAP
2007,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000027_labelled_mD4.wav,Tabor,Lola,after,partner,Tabor-Lola,11.639557,-8.067799,PaCMAP
2008,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000028_labelled_mB1.wav,Tabor,Lola,after,partner,Tabor-Lola,11.473444,-6.536374,PaCMAP
2009,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000028_labelled_mB2.wav,Tabor,Lola,after,partner,Tabor-Lola,11.897408,-7.149699,PaCMAP
2010,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000029_labelled_mD1.wav,Tabor,Lola,after,partner,Tabor-Lola,-2.0298097,-2.1791654,PaCMAP
2011,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000029_labelled_mD2.wav,Tabor,Lola,after,partner,Tabor-Lola,10.544192,-5.6170187,PaCMAP
2012,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000029_labelled_mD3.wav,Tabor,Lola,after,partner,Tabor-Lola,10.553053,-7.500359,PaCMAP
2013,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000029_labelled_mD4.wav,Tabor,Lola,after,partner,Tabor-Lola,-9.659967,0.3373192,PaCMAP
2014,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000030_labelled_mD1.wav,Tabor,Lola,after,partner,Tabor-Lola,-8.215101,4.1023874,PaCMAP
2015,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000030_labelled_mD2.wav,Tabor,Lola,after,partner,Tabor-Lola,10.988084,-6.719172,PaCMAP
2016,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000030_labelled_mD3.wav,Tabor,Lola,after,partner,Tabor-Lola,-5.9522963,-2.2479389,PaCMAP
2017,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000030_labelled_mD4.wav,Tabor,Lola,after,partner,Tabor-Lola,-9.150539,-0.15380129,PaCMAP
2018,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000032_labelled_mD1.wav,Tabor,Lola,after,partner,Tabor-Lola,-1.2645102,-2.1408129,PaCMAP
2019,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000032_labelled_mD2.wav,Tabor,Lola,after,partner,Tabor-Lola,10.609774,-6.8763604,PaCMAP
2020,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000032_labelled_mD3.wav,Tabor,Lola,after,partner,Tabor-Lola,11.26361,-8.557766,PaCMAP
2021,after_trills_2022-08-02_15-01-39_0000067_labelled_Tabor_pheeseq_0000032_labelled_mD4.wav,Tabor,Lola,after,partner,Tabor-Lola,-9.383301,-0.04934667,PaCMAP
2022,after_trills_2022-08-03_14-57-11_0000071_labelled_Odin_pheeseq_0000017_labelled_mB1.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,8.751566,-4.587906,PaCMAP
2023,after_trills_2022-08-03_14-57-11_0000071_labelled_Odin_pheeseq_0000017_labelled_mB2.wav,Odin,Olympia,after,non-partner,Odin-Nougatti,1.7505708,-0.8152695,PaCMAP
2024,after_trills_2022-08-03_15-37-31_0000072_labelled_Nougatti_pheeseq_0000004_labelled_mB1.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,6.7320576,-7.0833335,PaCMAP
2025,after_trills_2022-08-03_15-37-31_0000072_labelled_Nougatti_pheeseq_0000004_labelled_mB2.wav,Nougatti,Wuschel,after,non-partner,Odin-Nougatti,9.023033,-7.30795,PaCMAP
2026,after_trills_2022-08-04_09-19-20_0000073_labelled_Nougatti_pheeseq_0000002_labelled_mC2.wav,Nougatti,Tabor,after,non-partner,Odin-Nougatti,8.781871,-4.7889566,PaCMAP
2027,after_trills_2022-08-04_09-19-20_0000073_labelled_Nougatti_pheeseq_0000002_labelled_mC3.wav,Nougatti,Tabor,after,non-partner,Odin-Nougatti,-4.2930746,-1.1184187,PaCMAP
2028,after_trills_2022-08-04_09-45-02_0000074_labelled_Odin_pheeseq_0000028_labelled_mB2.wav,Odin,Nougatti,after,partner,Odin-Nougatti,-2.2437375,-2.4413292,PaCMAP
2029,after_trills_2022-08-04_09-45-02_0000074_labelled_Odin_pheeseq_0000036_labelled_mB2.wav,Odin,Nougatti,after,partner,Odin-Nougatti,8.2819,-7.6194363,PaCMAP
2030,after_trills_2022-08-04_10-08-02_0000075_labelled_Odin_pheeseq_0000036_labelled_mC2.wav,Odin,Lola,after,non-partner,Odin-Nougatti,0.88704985,0.61087507,PaCMAP
2031,after_trills_2022-08-04_10-08-02_0000075_labelled_Odin_pheeseq_0000036_labelled_mC3.wav,Odin,Lola,after,non-partner,Odin-Nougatti,-9.612364,1.0294394,PaCMAP
2032,after_trills_2022-08-04_10-49-33_0000076_labelled_Tabor_pheeseq_0000017_labelled_mB1.wav,Tabor,Lola,after,partner,Tabor-Lola,0.014144037,-1.4830915,PaCMAP
2033,after_trills_2022-08-04_10-49-33_0000076_labelled_Tabor_pheeseq_0000017_labelled_mB2.wav,Tabor,Lola,after,partner,Tabor-Lola,9.594345,-7.0849056,PaCMAP
